Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic,Gain_Incremental
3F+vix_mom_lag+vix_mom+gamma,16.46458625793457,0.00013888891355969945,0.011785114066469593,0.008041965775191784,-0.0005576240946538746,0.005959205329418182,-0.7454501889077723,4.0s,-99.60%,-38.76%
3F+vix_mom_lag+vix_mom+theta,17.0438232421875,0.00014377513384948755,0.011990626916449679,0.008308546617627144,0.0005563838640227914,0.0062007904052734375,-0.806856487720742,4.1s,-106.62%,-3.52%
3F+vix_mom_lag+vix_mom+vega,13.367042541503906,0.00011275922680420015,0.010618814755150413,0.006986473221331835,-0.0003213630407117307,0.004985392093658447,-0.41707216711639883,4.1s,-62.05%,21.57%
3F+vix_mom_lag+vix_mom+rho,15.631386756896973,0.00013186036321141315,0.011483046773892945,0.0077852774411439896,7.813796401023865e-05,0.0056600868701934814,-0.6571207159589407,4.1s,-89.50%,-16.94%
3F+vix_mom_lag+gamma+theta,16.08150291442871,0.0001356573698969059,0.01164720438117688,0.007840979844331741,-0.0003722250694409013,0.005660757422447205,-0.7048386069454569,4.1s,-94.96%,-2.88%
3F+vix_mom_lag+gamma+vega,14.150422096252441,0.00011936751525793953,0.010925544163012639,0.007150471676141024,-0.000424196885433048,0.00522506982088089,-0.5001201083401492,4.1s,-71.55%,12.01%
3F+vix_mom_lag+gamma+rho,18.151107788085938,0.0001531157601593145,0.01237399531918913,0.008503539487719536,0.0011815075995400548,0.0063638463616371155,-0.9242423721599382,4.2s,-120.05%,-28.27%
3F+vix_mom_lag+theta+vega,18.57439422607422,0.00015668644165569377,0.01251744549241952,0.008564228191971779,1.8923896277556196e-05,0.006278336048126221,-0.9691159803742164,4.1s,-125.18%,-2.33%
3F+vix_mom_lag+theta+rho,13.6835355758667,0.00011542904024519549,0.010743790776313334,0.007017103955149651,-0.0002864668203983456,0.0050047338008880615,-0.4506243510560537,4.1s,-65.89%,26.33%
3F+vix_mom_lag+vega+rho,12.878668785095215,0.00010863949373735893,0.010423027090886742,0.00667541241273284,-0.00018555732094682753,0.004771605134010315,-0.3652984965226209,4.0s,-56.13%,5.88%
3F+vix_mom+gamma+theta,12.550700187683105,0.00010587287686265221,0.0102894546435976,0.006709740497171879,0.0003073762636631727,0.0048812031745910645,-0.33052976068312123,4.1s,-52.15%,2.55%
3F+vix_mom+gamma+vega,13.836240768432617,0.00011671720248372025,0.010803573597829574,0.007027842104434967,0.0003561135963536799,0.0051512569189071655,-0.4668129939430212,4.1s,-67.74%,-10.24%
3F+vix_mom+gamma+rho,12.878976821899414,0.00010864209221729651,0.010423151741066448,0.0067289238795638084,-0.0006111214752309024,0.004878319799900055,-0.36533115224136514,4.0s,-56.13%,6.92%
3F+vix_mom+theta+vega,15.455087661743164,0.00013037317189036368,0.011418107193855017,0.007650305051356554,-0.0008241695468313992,0.0055609941482543945,-0.6384308269984946,4.1s,-87.36%,-20.00%
3F+vix_mom+theta+rho,13.536291122436523,0.00011418694270054852,0.010685829060047166,0.007013699971139431,0.00021410943008959293,0.005062729120254517,-0.43501461419239784,4.0s,-64.10%,12.42%
3F+vix_mom+vega+rho,10.740248680114746,9.060060466586314e-05,0.009518434990368066,0.0058930316008627415,-0.000507751596160233,0.004186570644378662,-0.13859946396092626,4.0s,-30.20%,20.66%
3F+gamma+theta+vega,17.014892578125,0.0001435310859009237,0.01198044598088584,0.008152078837156296,-0.0005880077951587737,0.006037488579750061,-0.8037894787924866,4.1s,-106.27%,-58.42%
3F+gamma+theta+rho,12.865135192871094,0.00010852532956152595,0.010417549114908263,0.006783116143196821,0.0001331445964751765,0.004900477826595306,-0.36386376802509734,4.0s,-55.96%,24.39%
3F+gamma+vega+rho,15.464577674865723,0.0001304532259889976,0.011421612232473908,0.007617747876793146,-0.0003452985838521272,0.005744040012359619,-0.6394368859991892,4.1s,-87.48%,-20.21%
3F+theta+vega+rho,12.753514289855957,0.00010758373857907087,0.010372258123430542,0.006679865065962076,9.664816752774641e-05,0.004834011197090149,-0.3520305689879861,4.2s,-54.61%,17.53%
Total,,,,,,,,530.6s,,
