Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic,Gain_Incremental
3F+vix_lag+vix_mom_lag+vix_mom,83.20630645751953,0.00022484241000234967,0.014994746079955795,0.0066757770255208015,-0.00039128755452111363,0.003647744655609131,0.30008565690606637,12.8s,24.02%,-46.93%
3F+vix_lag+vix_mom_lag+gamma,88.16128540039062,0.00023823189277664904,0.015434762478789528,0.006972735282033682,-6.275243504205719e-05,0.003889113664627075,0.25840539275908747,12.8s,19.49%,-5.96%
3F+vix_lag+vix_mom_lag+theta,83.72444152832031,0.00022624252909170096,0.015041360613046314,0.006929953582584858,-5.8355770306661725e-05,0.003902122378349304,0.2957272112166329,12.7s,23.54%,5.03%
3F+vix_lag+vix_mom_lag+vega,88.97591400146484,0.0002404332049814623,0.015505908711889874,0.0068806614726781845,-9.051042434293777e-05,0.003732532262802124,0.25155290445067435,12.9s,18.75%,-6.27%
3F+vix_lag+vix_mom_lag+rho,89.2383804321289,0.00024114244911604423,0.015528761995601718,0.007074069231748581,0.0001549750450067222,0.003964602947235107,0.24934509079779654,13.0s,18.51%,-0.29%
3F+vix_lag+vix_mom+gamma,90.42124938964844,0.00024433883071797773,0.01563134129619009,0.007222703658044338,-0.00013600972306448966,0.004136800765991211,0.23939504031945724,12.9s,17.43%,-1.33%
3F+vix_lag+vix_mom+theta,83.56627655029297,0.00022581513126151615,0.015027146477675533,0.006879407446831465,-0.00118518085218966,0.003908485174179077,0.2970576624938206,12.7s,23.69%,7.58%
3F+vix_lag+vix_mom+vega,85.72579956054688,0.0002316506547783413,0.015220074072695615,0.006471454165875912,0.0004547625139821321,0.0033535361289978027,0.27889219891937655,12.9s,21.72%,-2.58%
3F+vix_lag+vix_mom+rho,92.49520111083984,0.0002499431211026167,0.015809589529858663,0.007337082643061876,0.00032092543551698327,0.004174932837486267,0.22194938483555082,13.0s,15.54%,-7.90%
3F+vix_lag+gamma+theta,87.04769897460938,0.0002352227283709872,0.015336972594713312,0.007324668113142252,-0.00013822717301081866,0.004267647862434387,0.26777265282460816,12.8s,20.51%,5.89%
3F+vix_lag+gamma+vega,88.06999206542969,0.0002379851973718933,0.015426768857148708,0.006625019013881683,-0.0003640680806711316,0.00348769873380661,0.25917333352329697,12.9s,19.58%,-1.17%
3F+vix_lag+gamma+rho,86.18880462646484,0.00023290180002557615,0.015261120536368755,0.006677919067442417,0.0003279047959949821,0.0035979077219963074,0.2749974954965466,13.2s,21.29%,2.14%
3F+vix_lag+theta+vega,88.55250549316406,0.00023928905866040849,0.015468970833911624,0.007128490135073662,-4.296842234907672e-05,0.003939002752304077,0.25511452977169513,12.9s,19.14%,-2.74%
3F+vix_lag+theta+rho,89.94795227050781,0.0002430598739964812,0.0155903776091691,0.0072602699510753155,8.538217662135139e-05,0.004117988049983978,0.24337631837799822,12.9s,17.86%,-1.58%
3F+vix_lag+vega+rho,90.20196533203125,0.0002437462752003871,0.01561237570648321,0.006406126078218222,0.0007288421038538218,0.0031216591596603394,0.24123961272835825,13.0s,17.63%,-0.28%
3F+iv_lag+d_iv_lag+vix_mom_lag,46.777278900146484,0.0001264028721985232,0.011242903192615472,0.0062089115381240845,3.253685690651764e-06,0.0036417990922927856,0.6065191470813214,12.8s,57.28%,48.14%
3F+iv_lag+d_iv_lag+vix_mom,42.98909378051758,0.00011616633234841874,0.010778048633607975,0.005677912849932909,0.0002764248929452151,0.0031164437532424927,0.6383845814745297,12.9s,60.74%,8.10%
3F+iv_lag+d_iv_lag+gamma,43.11885452270508,0.00011651697545756847,0.010794302916704185,0.005844742991030216,3.840159115497954e-05,0.00333385169506073,0.637293060789449,12.9s,60.62%,-0.30%
3F+iv_lag+d_iv_lag+theta,41.649051666259766,0.00011254523304354577,0.010608733809628073,0.005653112195432186,0.0003130677214358002,0.003081798553466797,0.6496567402332869,12.8s,61.97%,3.41%
3F+iv_lag+d_iv_lag+vega,45.13915252685547,0.00012197628126641393,0.011044287268376078,0.005966383032500744,-0.0005495086079463363,0.0033173710107803345,0.6202987293423389,12.9s,58.78%,-8.38%
3F+iv_lag+d_iv_lag+rho,43.55596160888672,0.00011769813845915371,0.010848877290261592,0.005733557976782322,-3.085440403083339e-05,0.003133222460746765,0.6336162058476578,13.0s,60.23%,3.51%
3F+iv_lag+vix_mom_lag+vix_mom,59.72799301147461,0.0001613986543214695,0.0127042770090025,0.006660010199993849,0.0005529826739802957,0.0038760900497436523,0.4975804025829661,12.8s,45.46%,-37.13%
