combo_name,n_features,features,SSE,RMSE,Gain_vs_HW_%,training_time_s,epochs_run
3F+vix_lag+gamma,5,"delta, T, spy_ret, vix_lag, gamma",91.5386734008789,0.015727630627479873,16.409089316186108,12.722216426999978,100
3F+vix_mom_lag+theta+rho,6,"delta, T, spy_ret, vix_mom_lag, theta, rho",91.68946838378906,0.015740579645539047,16.271386971595557,12.987073212000041,100
3F+theta+vega,5,"delta, T, spy_ret, theta, vega",92.03541564941406,0.01577024654089934,15.95547626513898,12.739240589000019,100
3F+vix_mom+rho,5,"delta, T, spy_ret, vix_mom, rho",92.16973876953125,0.01578175046232914,15.832815628717967,12.984626098999911,100
3F+vix_lag+vega,5,"delta, T, spy_ret, vix_lag, vega",92.29973602294922,0.01579287592149201,15.714105269523515,12.931183863000001,100
3F+vix_lag+vix_mom+rho,6,"delta, T, spy_ret, vix_lag, vix_mom, rho",92.49520111083984,0.015809589529858663,15.53561126150884,12.987994367000056,100
3F+theta+vega+rho,6,"delta, T, spy_ret, theta, vega, rho",92.54752349853516,0.01581406045653653,15.48783171791147,12.935305322999966,100
3F+vix_mom+vega+rho,6,"delta, T, spy_ret, vix_mom, vega, rho",92.82434844970703,0.01583769403207241,15.235041843328945,12.764066249000052,100
3F+vix_lag+rho,5,"delta, T, spy_ret, vix_lag, rho",93.77276611328125,0.015918397940979927,14.368969687579058,12.953317475999995,100
3F+vix_mom_lag+gamma,5,"delta, T, spy_ret, vix_mom_lag, gamma",94.55915832519531,0.015985005600598567,13.650855269854445,12.78130558700002,100
3F+vix_mom_lag+vega,5,"delta, T, spy_ret, vix_mom_lag, vega",94.61112213134766,0.01598939717758184,13.603403174281148,12.74044703300001,100
3F+vix_mom_lag,4,"delta, T, spy_ret, vix_mom_lag",95.93170928955078,0.01610060091054364,12.39747480444212,12.820652005999989,100
3F+vix_mom,4,"delta, T, spy_ret, vix_mom",95.94438934326172,0.016101664947346682,12.385895684952642,12.74348699899997,100
3F+vix_lag,4,"delta, T, spy_ret, vix_lag",96.33402252197266,0.01613432650459199,12.030092055393338,12.750590059999979,100
3F+vix_mom_lag+vega+rho,6,"delta, T, spy_ret, vix_mom_lag, vega, rho",96.58187866210938,0.016155069035921843,11.803755800968174,12.774568704999865,100
