Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic,Gain_Incremental,rank,added_features
3F+iv_lag+vix_lag+vix_mom_lag+vega,9.732718467712402,8.080230523376645e-05,0.0089890102477284,0.0063554299995303,-0.0011251436080783,0.0047424882650375,-0.0168942735337829,12.1s,-16.22%,-6.90%,83,4
3F+iv_lag+vix_lag+vix_mom_lag+rho,9.693933486938477,8.048030723645695e-05,0.0089710817205316,0.0063617704436182,-0.0002008579467656,0.0047536939382553,-0.0128419396479355,12.0s,-15.75%,0.40%,82,4
3F+iv_lag+vix_lag+vix_mom+gamma,11.050681114196776,9.17442039849962e-05,0.0095783194760352,0.0068679531104862,0.0010346706258133,0.0051919221878051,-0.1545976985724813,12.1s,-31.96%,-14.00%,154,4
3F+iv_lag+vix_lag+vix_mom+theta,9.789128303527832,8.127062708925482e-05,0.0090150223010958,0.0063965758308768,-0.0005715084844268,0.0047410726547241,-0.0227880882169042,12.2s,-16.89%,11.42%,90,4
3F+iv_lag+vix_lag+vix_mom+vega,9.691875457763672,8.046322120832265e-05,0.0089701293863757,0.0063786702230572,0.000361911865184,0.0047829896211624,-0.0126269125627931,12.4s,-15.73%,0.99%,81,4
3F+iv_lag+vix_lag+vix_mom+rho,9.895370483398438,8.21526636009534e-05,0.0090638106556212,0.0064271939918398,-0.0012717443751171,0.0048036724328994,-0.0338884878304932,12.3s,-18.16%,-2.10%,96,4
3F+iv_lag+vix_lag+gamma+theta,8.585637092590332,7.127908520967308e-05,0.0084426941914102,0.0061376797966659,0.0015519527951255,0.0046929717063903,0.1029551277931475,12.0s,-2.52%,13.24%,43,4
3F+iv_lag+vix_lag+gamma+vega,12.28286075592041,0.0001019739209796,0.0100982137519293,0.007393131032586,-0.0007130451267585,0.0056880563497543,-0.2833383403356635,12.0s,-46.67%,-43.06%,196,4
3F+iv_lag+vix_lag+gamma+rho,9.15544605255127,7.60097139297413e-05,0.0087183550013601,0.0062741269357502,4.230831109452993e-05,0.0047763139009475,0.0434203256394888,11.9s,-9.32%,25.46%,61,4
3F+iv_lag+vix_lag+theta+vega,9.753150939941406,8.097193829807478e-05,0.0089984408815124,0.0064042620360851,0.0009525471832603,0.0048086866736412,-0.0190290999004079,12.6s,-16.46%,-6.53%,85,4
3F+iv_lag+vix_lag+theta+rho,9.27112865447998,7.697012606354435e-05,0.0087732619967458,0.0061549642123281,0.0005161260487511,0.0045559182763099,0.0313335714773247,12.3s,-10.71%,4.94%,63,4
3F+iv_lag+vix_lag+vega+rho,9.88991928100586,8.210740700372649e-05,0.0090613137570512,0.006486396305263,0.002700745826587,0.0049983859062194,-0.0333189350878269,12.6s,-18.10%,-6.67%,95,4
3F+iv_lag+vix_mom_lag+vix_mom+gamma,9.939044952392578,8.251525477075806e-05,0.0090837907709699,0.0064815375953912,-0.0007266615866683,0.0048581212759017,-0.0384516854167693,12.0s,-18.68%,-0.50%,99,4
3F+iv_lag+vix_mom_lag+vix_mom+theta,8.691922187805176,7.216147801018817e-05,0.0084947912281696,0.0059467479586601,0.0004172190092504,0.0043674707412719,0.0918502442968748,11.9s,-3.79%,12.55%,46,4
3F+iv_lag+vix_mom_lag+vix_mom+vega,10.359718322753906,8.600774026578365e-05,0.0092740358132683,0.0065720994025468,0.0022021173499524,0.0049499571323394,-0.0824044970354063,12.3s,-23.70%,-19.19%,122,4
3F+iv_lag+vix_mom_lag+vix_mom+rho,9.77068328857422,8.111749415591584e-05,0.0090065250877303,0.0063257422298192,0.0010786181082949,0.0047109723091125,-0.0208609154394527,12.6s,-16.67%,5.69%,87,4
3F+iv_lag+vix_mom_lag+gamma+theta,8.228144645690918,6.831113602785297e-05,0.0082650551134189,0.0059159947559237,0.0012630029814317,0.0044105947017669,0.1403066676830133,12.2s,1.75%,15.79%,30,4
3F+iv_lag+vix_mom_lag+gamma+vega,9.158589363098145,7.603581010616885e-05,0.0087198514956488,0.0062628602609038,-0.0014822621596977,0.0048049539327621,0.0430919061433676,12.1s,-9.36%,-11.31%,62,4
3F+iv_lag+vix_mom_lag+gamma+rho,8.787528038024902,7.295521031809535e-05,0.0085413822252663,0.0060980105772614,-0.0012314070481806,0.0045934915542602,0.08186115009598,12.4s,-4.93%,4.05%,51,4
3F+iv_lag+vix_mom_lag+theta+vega,9.006094932556152,7.476978134308683e-05,0.0086469521418293,0.0060933446511626,0.0006545993383042,0.0045272707939147,0.0590248352297666,12.2s,-7.54%,-2.49%,58,4
3F+iv_lag+vix_mom_lag+theta+rho,9.64759635925293,8.009561032496973e-05,0.0089496150936769,0.0064086001366376,-0.0016549862921237,0.004864364862442,-0.0080005420515956,12.1s,-15.20%,-7.12%,78,4
3F+iv_lag+vix_mom_lag+vega+rho,8.397571563720703,6.971774052287406e-05,0.0083497149965058,0.005799816455692,-0.0005597517010755,0.0042641460895538,0.1226045977733039,12.0s,-0.28%,12.96%,34,4
3F+iv_lag+vix_mom+gamma+theta,7.371503829956055,6.11991916211244e-05,0.0078229912195479,0.0056302696466445,-0.0015744869597256,0.0042847692966461,0.229810247066918,12.5s,11.98%,12.22%,11,4
3F+iv_lag+vix_mom+gamma+vega,8.570743560791016,7.11554371552832e-05,0.0084353682287902,0.0059643220156431,-0.0004969857982359,0.004491776227951,0.1045112343680639,12.7s,-2.34%,-16.27%,42,4
3F+iv_lag+vix_mom+gamma+rho,8.449524879455566,7.014906376414946e-05,0.0083755037916622,0.0058225998654961,0.0016256334492936,0.0043377578258514,0.1171764093964246,12.2s,-0.90%,1.41%,38,4
3F+iv_lag+vix_mom+theta+vega,7.72222900390625,6.411095801534442e-05,0.0080069318727802,0.0055769602768123,-0.0008321901550516,0.0041300356388092,0.1931657656553518,12.0s,7.79%,8.61%,18,4
3F+iv_lag+vix_mom+theta+rho,10.94331169128418,9.085280895371711e-05,0.0095316739848631,0.0067614489234983,0.0014096479862928,0.0050742775201797,-0.1433795223070673,12.0s,-30.67%,-41.71%,149,4
3F+iv_lag+vix_mom+vega+rho,7.567527770996094,6.282660808956417e-05,0.0079263237436761,0.0054120034910738,-0.0009599323384463,0.0040032267570495,0.20932926595353,12.0s,9.64%,30.85%,16,4
3F+iv_lag+gamma+theta+vega,8.852788925170898,7.349701476260802e-05,0.008573039995393,0.0061803977005183,-0.0003243823593948,0.004661425948143,0.0750425595198061,12.0s,-5.71%,-16.98%,53,4
3F+iv_lag+gamma+theta+rho,7.760611057281494,6.442961085654328e-05,0.008026805769205,0.0057715778239071,-0.000415454909671,0.0043392106890678,0.1891555304458125,12.2s,7.33%,12.34%,19,4
3F+iv_lag+gamma+vega+rho,10.861058235168455,9.016992997292223e-05,0.0094957848529188,0.0068619884550571,0.0012179476907476,0.005267709493637,-0.1347855134718254,12.5s,-29.69%,-39.95%,142,4
3F+iv_lag+theta+vega+rho,8.923691749572754,7.408565931019878e-05,0.0086073026733233,0.0060589518398046,-0.0004709345521405,0.0045399665832519,0.0676344878334825,12.4s,-6.56%,17.84%,54,4
3F+vix_lag+vix_mom_lag+vix_mom+gamma,12.417787551879885,0.0001030941009363,0.0101535265270896,0.00678365631029,-0.0012851358624175,0.005042165517807,-0.2974357671350331,12.5s,-48.28%,-39.16%,203,4
3F+vix_lag+vix_mom_lag+vix_mom+theta,10.393705368041992,8.628990517340655e-05,0.0092892359843749,0.0061364388093352,-0.0003653904423117,0.0045362710952758,-0.0859555328372165,12.3s,-24.11%,16.30%,124,4
3F+vix_lag+vix_mom_lag+vix_mom+vega,10.70930004119873,8.891001354242581e-05,0.0094292106532002,0.0061778677627444,-0.0003152593562845,0.0045821145176887,-0.1189295078839112,12.1s,-27.88%,-3.04%,136,4
3F+vix_lag+vix_mom_lag+vix_mom+rho,11.393342971801758,9.458902766935732e-05,0.009725689058846,0.006503292825073,0.0020062003750354,0.0049214884638786,-0.1903997082487001,12.1s,-36.05%,-6.39%,170,4
