Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic,Gain_Incremental
3F+iv_lag+vix_mom_lag+vega,37.62186050415039,0.00015674926151562786,0.012519954533289163,0.007486200425773859,-0.0008561972645111382,0.005029618740081787,0.4376130422678718,8.1s,39.48%,-18.91%
3F+iv_lag+vix_mom_lag+rho,37.44337844848633,0.00015600562656392083,0.012490221237589062,0.007550635375082493,0.0008037618827074766,0.0051255375146865845,0.4402810650330834,8.2s,39.77%,0.47%
3F+iv_lag+vix_mom+gamma,32.609619140625,0.0001358660536746968,0.011656159473630103,0.007087471429258585,-0.00024238535843323916,0.004693642258644104,0.5125380761199645,8.2s,47.54%,12.91%
3F+iv_lag+vix_mom+theta,37.83078384399414,0.00015761972828136036,0.012554669580732118,0.008011453785002232,-0.0018493003444746137,0.0055538564920425415,0.4344899707366008,8.2s,39.14%,-16.01%
3F+iv_lag+vix_mom+vega,36.5548095703125,0.00015230345677239357,0.012341128666876202,0.007406373508274555,0.0004893920850008726,0.005018241703510284,0.4535637560386625,8.3s,41.20%,3.37%
3F+iv_lag+vix_mom+rho,37.43037414550781,0.00015595144490301697,0.012488052086014735,0.00754316383972764,-0.0007024072110652924,0.005030214786529541,0.4404754586726193,8.3s,39.79%,-2.40%
3F+iv_lag+gamma+theta,23.06861686706543,9.611403076943928e-05,0.009803776352479655,0.006052984856069088,-0.0003120168694294989,0.0039305612444877625,0.6551608802673178,8.4s,62.89%,38.37%
3F+iv_lag+gamma+vega,29.827489852905273,0.00012427447618631188,0.011147846257744672,0.007538785692304373,0.001025311416015029,0.0056128352880477905,0.5541264825722595,8.3s,52.02%,-29.30%
3F+iv_lag+gamma+rho,29.113502502441406,0.00012129969002696274,0.011013613849548328,0.007108307909220457,9.633081936044618e-05,0.004977308213710785,0.5647994574997568,8.3s,53.17%,2.39%
3F+iv_lag+theta+vega,32.83112335205078,0.0001367889378994087,0.011695680309388109,0.007041126023977995,-0.0005541868740692735,0.004636794328689575,0.5092269405748509,8.3s,47.19%,-12.77%
3F+iv_lag+theta+rho,33.60034942626953,0.00013999387294133872,0.011831900647881503,0.007195259910076857,-0.00018207207904197276,0.00470462441444397,0.4977282346126515,8.2s,45.95%,-2.34%
3F+iv_lag+vega+rho,35.46390914916992,0.000147758284547795,0.012155586557126521,0.0069364565424621105,-0.000458554713986814,0.004462003707885742,0.46987098169985464,8.2s,42.95%,-5.55%
3F+d_iv_lag+vix_mom_lag+vix_mom,29.005632400512695,0.00012085025561329051,0.010993191329786383,0.006399192381650209,0.00018421426648274064,0.004142880439758301,0.5664119439010407,8.2s,53.34%,18.21%
3F+d_iv_lag+vix_mom_lag+gamma,31.245086669921875,0.000130180809664151,0.011409680524193085,0.006664060987532139,-4.1787112422753125e-05,0.0043215155601501465,0.5329356655704058,8.3s,49.74%,-7.72%
3F+d_iv_lag+vix_mom_lag+theta,27.5072078704834,0.0001146071582392762,0.01070547328422598,0.005816562566906214,0.0002892297343350947,0.0034774094820022583,0.5888110066146299,8.2s,55.75%,11.96%
3F+d_iv_lag+vix_mom_lag+vega,29.217897415161133,0.00012173464526988593,0.011033342434180403,0.006192491855472326,-0.0002802533854264766,0.0038408786058425903,0.5632389196480819,8.2s,53.00%,-6.22%
3F+d_iv_lag+vix_mom_lag+rho,28.170663833618164,0.00011737140835545644,0.010833808580340361,0.005996094085276127,-0.00022962009825278074,0.0037011951208114624,0.5788933955316948,8.2s,54.68%,3.58%
3F+d_iv_lag+vix_mom+gamma,28.342628479003906,0.00011808788890186742,0.010866825152815675,0.005920822732150555,-3.1742903956910595e-05,0.0036093443632125854,0.5763227976808707,8.2s,54.41%,-0.61%
3F+d_iv_lag+vix_mom+theta,27.601600646972656,0.00011500044017187676,0.010723825817863547,0.005919248331338167,-0.00029887695563957095,0.003598153591156006,0.5873999847860889,8.1s,55.60%,2.61%
3F+d_iv_lag+vix_mom+vega,29.121912002563477,0.00012133472771293004,0.011015204388159578,0.006103882100433111,-0.00027720018988475204,0.0037994086742401123,0.5646737488525415,8.2s,53.15%,-5.51%
3F+d_iv_lag+vix_mom+rho,32.47480773925781,0.00013530436992686983,0.011632040660471826,0.0067838141694664955,-2.118285556207411e-05,0.0043724775314331055,0.514553292083942,8.1s,47.76%,-11.51%
3F+d_iv_lag+gamma+theta,32.85945129394531,0.0001369069645975231,0.011700724960339982,0.007006087806075811,-9.455512918066233e-05,0.004578694701194763,0.5088034829136031,8.1s,47.14%,-1.18%
3F+d_iv_lag+gamma+vega,32.65302658081055,0.00013604690821251576,0.011663914789319912,0.00669420650228858,0.00016660027904435992,0.004286095499992371,0.5118892039509182,8.1s,47.47%,0.63%
3F+d_iv_lag+gamma+rho,35.997711181640625,0.00014998233921346187,0.01224672769410106,0.007377314381301403,-0.0006805828888900578,0.004909679293632507,0.4618914905994794,8.2s,42.09%,-10.24%
3F+d_iv_lag+theta+vega,31.123828887939453,0.00012967559627161633,0.011387519320361934,0.0065973312593996525,-0.00031880801543593407,0.004226326942443848,0.5347482764885426,8.3s,49.93%,13.54%
3F+d_iv_lag+theta+rho,35.39432144165039,0.00014746835147117193,0.012143654782279177,0.0072743552736938,-0.0009462480084039271,0.004726231098175049,0.47091120721244306,8.1s,43.06%,-13.72%
3F+d_iv_lag+vega+rho,31.318403244018555,0.00013048627884330662,0.01142305908429553,0.006356789264827967,0.00019701337441802025,0.003945805132389069,0.531839699435158,8.1s,49.62%,11.52%
3F+vix_mom_lag+vix_mom+gamma,47.878135681152344,0.0001994814267608519,0.014123789390983282,0.006753792520612478,0.0010064963717013597,0.004164591431617737,0.2842980462213218,8.1s,22.98%,-52.88%
3F+vix_mom_lag+vix_mom+theta,48.83981704711914,0.0002034882154179946,0.014264929562321525,0.007119637914001942,-0.0006205980316735804,0.004405781626701355,0.2699224398460316,8.2s,21.44%,-2.01%
3F+vix_mom_lag+vix_mom+vega,53.143489837646484,0.00022141921411609572,0.014880161763774468,0.00756247341632843,-0.00011335682938806713,0.004910901188850403,0.20558937881965822,8.3s,14.51%,-8.81%
3F+vix_mom_lag+vix_mom+rho,49.802249908447266,0.0002074981351362104,0.014404795560375385,0.006863011047244072,-0.00046252968604676425,0.004264071583747864,0.25553559981072704,8.3s,19.89%,6.29%
3F+vix_mom_lag+gamma+theta,46.11717987060547,0.00019214450829998988,0.013861619973869933,0.006990751251578331,0.000649807567242533,0.004279717803001404,0.31062153388841685,8.2s,25.81%,7.40%
3F+vix_mom_lag+gamma+vega,56.55369567871094,0.0002356276354977061,0.015350167279144098,0.008046071976423264,-0.0006575870793312788,0.00534936785697937,0.15461222717174872,8.2s,9.03%,-22.63%
