,extra_features,avg_gain,avg_marginal_gain,avg_median_marginal,avg_std,n_features,gain_A,gain_B,gain_C
119,theta+vega,6.359999999999999,4.5793229166666665,4.117500000000001,8.426529487596348,2,20.9,-5.67,3.85
120,(none),4.47,0.0,0.0,0.0,0,7.3,0.19,5.92
121,rho+vega,3.7466666666666666,3.0491666666666664,2.8725,8.341137456787415,2,7.2,-1.05,5.09
122,theta,-5.103333333333333,6.56296875,5.845000000000001,8.503022014203152,1,4.2,-11.51,-8.0
123,gamma,-7.783333333333334,6.397135416666667,5.790000000000001,8.993496123495522,1,5.03,-18.01,-10.37
124,vix_mom_lag,-8.446666666666667,7.478593749999999,6.809999999999999,8.488910572621256,1,6.01,-19.27,-12.08
125,vix_mom,-9.453333333333333,9.29296875,8.95,8.196691725874741,1,8.46,-23.31,-13.51
126,vix_lag,-9.94,8.30953125,7.599999999999999,8.437702484549536,1,1.53,-20.42,-10.93
127,rho,-12.263333333333334,3.50265625,3.3549999999999995,8.332237952585285,1,2.39,-19.16,-20.02
128,vega,-13.803333333333333,2.5956770833333334,2.3900000000000006,8.350036960989543,1,-3.76,-15.2,-22.45
129,Total,,,,,1,,,
