Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic,Gain_Incremental,rank,added_features
3F+vix_mom+gamma+rho,33.0881462097168,0.0002541957025514,0.0159435160034243,0.0081919571384787,-0.0015036779223009,0.0048916116356849,0.2011873712982712,13.7s,14.34%,3.74%,41,3
3F+vix_mom+theta+vega,33.48360824584961,0.0002572337920675,0.0160385096585548,0.0079160965979099,0.0005099164554849,0.0046874694526195,0.1916401435196952,13.7s,13.31%,-1.20%,53,3
3F+vix_mom+theta+rho,35.32084274291992,0.0002713481250608,0.0164726477853696,0.0086372457444667,-0.0015012907097116,0.00537109375,0.1472857058656675,13.7s,8.56%,-5.49%,84,3
3F+vix_mom+vega+rho,33.67237854003906,0.0002586839971424,0.0160836562118958,0.0080389687791466,0.0007422161288559,0.004793494939804,0.1870828590478926,13.7s,12.83%,4.67%,55,3
3F+gamma+theta+vega,36.62241744995117,0.0002813473161602,0.0167734109876398,0.0081499852240085,-0.0006913607940077,0.0047596879303455,0.115863144245398,13.7s,5.19%,-8.76%,102,3
3F+gamma+theta+rho,37.897186279296875,0.0002911405743293,0.0170628419183119,0.0087802112102508,-0.0003829834458883,0.00543212890625,0.0850877289923782,13.7s,1.89%,-3.48%,110,3
3F+gamma+vega+rho,36.41666030883789,0.0002797666116775,0.0167262252668528,0.0082788793370127,0.0003773099451791,0.0049570649862289,0.1208305244583937,13.7s,5.72%,3.91%,99,3
3F+theta+vega+rho,37.859596252441406,0.0002908517934702,0.0170543775456712,0.0082893585786223,-0.0009524378110654,0.0048804730176925,0.0859952258335451,13.6s,1.99%,-3.96%,109,3
3F+vix_lag+vix_mom_lag+vix_mom+gamma,32.755252838134766,0.0002516382892733,0.0158631109582376,0.0087784929201006,-0.0002010479511227,0.0058593265712261,0.2092240690191225,13.7s,15.20%,13.48%,34,4
3F+vix_lag+vix_mom_lag+vix_mom+theta,31.836673736572266,0.0002445814158362,0.0156390989457911,0.0087083438411355,-0.0006229372229427,0.0057703517377376,0.231400366903533,13.7s,17.58%,2.80%,24,4
3F+vix_lag+vix_mom_lag+vix_mom+vega,31.69033432006836,0.0002434571808744,0.0156031144607245,0.0087222084403038,-0.0016731087816879,0.0056385323405265,0.2349332869178261,13.7s,17.96%,0.46%,22,4
3F+vix_lag+vix_mom_lag+vix_mom+rho,31.68364143371582,0.0002434057635802,0.0156014667124685,0.0084436032921075,0.0007824774947948,0.0055233277380466,0.2350948662975528,13.5s,17.97%,0.02%,21,4
3F+vix_lag+vix_mom_lag+gamma+theta,33.30375289916992,0.0002558520750043,0.0159953766759141,0.0084110470488667,0.0013988986611366,0.0053222700953483,0.1959822037051363,13.8s,13.78%,-5.11%,47,4
3F+vix_lag+vix_mom_lag+gamma+vega,32.9611930847168,0.0002532204004418,0.0159129004408959,0.0083557134494185,0.0005313457804732,0.0053081661462783,0.2042522682816315,13.6s,14.67%,1.03%,38,4
3F+vix_lag+vix_mom_lag+gamma+rho,32.47730255126953,0.0002495029696336,0.0157956630007614,0.0085073458030819,-0.0014292255509644,0.0054114311933517,0.2159343331086233,13.5s,15.92%,1.47%,31,4
3F+vix_lag+vix_mom_lag+theta+vega,33.37065124511719,0.0002563660134988,0.0160114338364445,0.0084669385105371,0.0008098240941762,0.0053784921765327,0.1943671466619514,13.5s,13.61%,-2.75%,49,4
3F+vix_lag+vix_mom_lag+theta+rho,33.30424499511719,0.0002558558554722,0.0159954948492471,0.0085298959165811,-5.996368054184131e-05,0.0054772272706031,0.1959703235455553,13.5s,13.78%,0.20%,47,4
3F+vix_lag+vix_mom_lag+vega+rho,33.405452728271484,0.0002566333717063,0.0160197806385213,0.008474956266582,-0.0002032018237514,0.0054010152816772,0.1935269707250765,13.7s,13.52%,-0.30%,50,4
3F+vix_lag+vix_mom+gamma+theta,33.41075134277344,0.0002566740776748,0.0160210510789648,0.0087313335388898,-0.0001886829122668,0.0056602582335472,0.1933990517974957,13.8s,13.50%,-0.02%,51,4
3F+vix_lag+vix_mom+gamma+vega,30.29502296447754,0.0002327378692495,0.0152557487279243,0.0081610940396785,-0.001846672152169,0.005101129412651,0.268618834749743,13.5s,21.57%,9.33%,9,4
3F+vix_lag+vix_mom+gamma+rho,30.544633865356445,0.0002346554749658,0.0153184684275505,0.0080694425851106,0.0009471984230913,0.0051250644028186,0.2625927389201395,13.4s,20.92%,-0.82%,10,4
3F+vix_lag+vix_mom+theta+vega,32.55336380004883,0.0002500873010267,0.0158141487607376,0.008485984057188,0.0012394884834066,0.0054746344685554,0.2140980656521562,13.6s,15.72%,-6.58%,32,4
3F+vix_lag+vix_mom+theta+rho,31.063405990600582,0.0002386408794066,0.0154480056773234,0.0081101227551698,0.0008107025059871,0.0051441863179206,0.2500685641768062,13.9s,19.58%,4.58%,12,4
3F+vix_lag+vix_mom+vega+rho,31.531099319458008,0.0002422338771392,0.0155638644667454,0.0082875778898596,-5.985236566630192e-05,0.0052725300192832,0.2387775315791218,13.4s,18.37%,-1.51%,17,4
3F+vix_lag+gamma+theta+vega,34.7977294921875,0.0002673293704457,0.0163502101040258,0.0086066694930195,-0.0011046070139855,0.0053787231445312,0.159914683877242,13.5s,9.91%,-10.36%,75,4
3F+vix_lag+gamma+theta+rho,34.43601989746094,0.0002645505800001,0.0162650109130046,0.0086020054295659,-0.0012975063873454,0.0054746344685554,0.1686470616405303,13.7s,10.85%,1.04%,66,4
3F+vix_lag+gamma+vega+rho,34.26791763305664,0.0002632591545775,0.0162252628508014,0.0084244264289736,-0.0003384733281563,0.0052743703126907,0.1727053794099337,13.3s,11.28%,0.49%,63,4
3F+vix_lag+theta+vega+rho,34.54254150390625,0.0002653689194264,0.0162901479252486,0.0083070313557982,-0.0001469082781113,0.0050278156995773,0.1660754215154294,13.7s,10.57%,-0.80%,67,4
3F+vix_mom_lag+vix_mom+gamma+theta,31.352794647216797,0.0002408640729458,0.0155197961631543,0.0081886583939194,-0.0009212368750013,0.0050717107951641,0.2430821554477439,13.7s,18.83%,9.23%,16,4
3F+vix_mom_lag+vix_mom+gamma+vega,32.43375778198242,0.0002491684421822,0.0157850702305145,0.0082915341481566,0.0013551379088312,0.0052490234375,0.2169855890901455,13.5s,16.03%,-3.45%,30,4
3F+vix_mom_lag+vix_mom+gamma+rho,30.781137466430664,0.0002364723854282,0.0153776586458504,0.0080941217020154,-0.0005986486794427,0.0050120651721954,0.2568830789689863,13.7s,20.31%,5.10%,11,4
3F+vix_mom_lag+vix_mom+theta+vega,36.379249572753906,0.0002794792081982,0.0167176316563764,0.0093942936509847,0.0001437103783246,0.0062289983034133,0.1217336928693255,13.4s,5.82%,-18.19%,97,4
3F+vix_mom_lag+vix_mom+theta+rho,31.529390335083008,0.0002422207480723,0.0155634426806012,0.0081701222807168,0.0007605034043081,0.0051189064979553,0.238818789807744,13.4s,18.37%,13.33%,17,4
3F+vix_mom_lag+vix_mom+vega+rho,32.073402404785156,0.0002464000553498,0.0156971352593361,0.0081546204164624,-0.0005889346357434,0.005096435546875,0.2256852733910211,13.5s,16.97%,-1.73%,27,4
3F+vix_mom_lag+gamma+theta+vega,36.458770751953125,0.0002800901200905,0.0167358931668016,0.0085892444476485,0.0002098679542541,0.0053169280290603,0.1198138959187508,13.7s,5.61%,-13.67%,101,4
3F+vix_mom_lag+gamma+theta+rho,34.66227340698242,0.0002662887453673,0.0163183560865483,0.008441018871963,-0.0001969935983652,0.0052288547158241,0.1631848589668497,13.7s,10.26%,4.93%,71,4
3F+vix_mom_lag+gamma+vega+rho,34.772274017333984,0.0002671338118226,0.0163442287007578,0.0083316033706069,0.0008594337850809,0.0051152817904949,0.1605292288763394,13.7s,9.98%,-0.32%,73,4
3F+vix_mom_lag+theta+vega+rho,34.9087028503418,0.000268181909919,0.0163762605596955,0.0081289615482091,-0.0010913817677646,0.0048284232616424,0.1572355697503509,13.8s,9.63%,-0.39%,78,4
3F+vix_mom+gamma+theta+vega,34.30558395385742,0.0002635485215556,0.016234177575586,0.0082579003646969,0.0003621208306867,0.00506591796875,0.1717960406835604,13.6s,11.19%,1.73%,64,4
3F+vix_mom+gamma+theta+rho,33.942996978759766,0.0002607629907408,0.0161481575029749,0.0082385055720806,0.0011894612107425,0.0050260052084922,0.1805496001267217,13.6s,12.13%,1.06%,59,4
3F+vix_mom+gamma+vega+rho,35.63460922241211,0.0002737585982915,0.0165456519451949,0.0088249612599611,-0.0003430283686611,0.0056125037372112,0.1397107687660473,13.5s,7.75%,-4.98%,89,4
3F+vix_mom+theta+vega+rho,33.08990478515625,0.0002542092125956,0.01594393968239,0.0077558443881571,-0.0003644593816716,0.0044581592082977,0.2011449158442649,13.4s,14.33%,7.14%,42,4
3F+gamma+theta+vega+rho,36.3778190612793,0.0002794682184659,0.0167173029662675,0.0085176695138216,-0.000519321183674,0.005229152739048,0.1217682282169445,13.4s,5.82%,-9.94%,97,4
3F+vix_lag+vix_mom_lag+vix_mom+gamma+theta,29.139896392822266,0.0002238637483315,0.0149620770059359,0.0081878490746021,-0.0001392428966937,0.005302295088768,0.2965058516693005,13.6s,24.56%,19.90%,4,5
3F+vix_lag+vix_mom_lag+vix_mom+gamma+vega,29.54626083374023,0.0002269855942608,0.015066041094488,0.0082814656198024,-0.0001521996746305,0.0053402259945869,0.2866954184947378,13.7s,23.51%,-1.39%,6,5
3F+vix_lag+vix_mom_lag+vix_mom+gamma+rho,28.785869598388672,0.0002211439800748,0.0148709105328118,0.0083615062758326,0.0003116625302936,0.0054567717015743,0.3050527515923097,13.8s,25.48%,2.57%,2,5
3F+vix_lag+vix_mom_lag+vix_mom+theta+vega,28.6926212310791,0.0002204276107113,0.0148468047306948,0.0081728734076023,0.0009507894865237,0.0052419528365135,0.3073039497386365,13.7s,25.72%,0.32%,1,5
3F+vix_lag+vix_mom_lag+vix_mom+theta+rho,29.053285598754883,0.0002231983713259,0.0149398250098834,0.0082784565165638,-0.0003673792816698,0.0053137876093387,0.2985968058026751,13.4s,24.78%,-1.26%,3,5
3F+vix_lag+vix_mom_lag+vix_mom+vega+rho,29.442855834960938,0.0002261911977979,0.0150396541781362,0.0083727035671472,-0.000564023212064,0.005401611328125,0.2891918176091593,13.4s,23.78%,-1.34%,5,5
3F+vix_lag+vix_mom_lag+gamma+theta+vega,31.2868595123291,0.0002403575342044,0.015503468457235,0.008361698128283,-0.0008226952049881,0.0052982605993747,0.2446739586901986,13.5s,19.00%,-6.26%,14,5
3F+vix_lag+vix_mom_lag+gamma+theta+rho,32.01401138305664,0.0002459437909705,0.0156825951605774,0.0084825800731778,0.0006318103987723,0.005340576171875,0.2271190889299015,13.6s,17.12%,-2.32%,26,5
3F+vix_lag+vix_mom_lag+gamma+vega+rho,36.192596435546875,0.0002780452679271,0.0166746894402022,0.0095444833859801,0.0006250056903809,0.0063114874064922,0.126239865026652,13.6s,6.30%,-13.05%,95,5
3F+vix_lag+vix_mom_lag+theta+vega+rho,32.10926055908203,0.0002466755313063,0.015705907528899,0.0084742791950702,-0.0003043512406293,0.0053074657917022,0.2248195873440384,13.5s,16.87%,11.28%,28,5
3F+vix_lag+vix_mom+gamma+theta+vega,31.204139709472656,0.0002397220492707,0.0154829599647719,0.0082134399563074,0.0018504020990803,0.0052004009485244,0.2466709766780495,13.5s,19.22%,2.82%,13,5
3F+vix_lag+vix_mom+gamma+theta+rho,31.76813316345215,0.000244054861129,0.0156222553150656,0.0084927976131439,0.0002371279697399,0.0054528266191482,0.2330550705257845,13.5s,17.76%,-1.81%,23,5
3F+vix_lag+vix_mom+gamma+vega+rho,31.863746643066406,0.0002447894001833,0.0156457470318087,0.0086547583341598,-0.0013099265052005,0.00555419921875,0.2307467739380611,13.3s,17.51%,-0.30%,25,5
3F+vix_lag+vix_mom+theta+vega+rho,31.554746627807617,0.0002424155447407,0.0155696995713052,0.008298110216856,0.000306708534481,0.0051935836672782,0.2382066392594147,13.4s,18.31%,0.97%,19,5
3F+vix_lag+gamma+theta+vega+rho,35.251380920410156,0.000270814492966,0.0164564422937064,0.0090944999828934,-0.0008967528701759,0.0058942399919033,0.1489626502517856,13.4s,8.74%,-11.71%,82,5
3F+vix_mom_lag+vix_mom+gamma+theta+vega,30.235355377197266,0.0002322794801886,0.0152407178370527,0.007997004315257,0.0002024968707701,0.0048702657222747,0.2700593271224963,13.4s,21.72%,14.23%,8,5
3F+vix_mom_lag+vix_mom+gamma+theta+rho,31.679723739624023,0.0002433756663667,0.0156005021190577,0.0082940077409148,0.0003612826112657,0.0051716715097427,0.2351894471028988,13.8s,17.98%,-4.78%,20,5
3F+vix_mom_lag+vix_mom+gamma+vega+rho,32.389610290527344,0.0002488292843903,0.0157743235794877,0.0084033329039812,0.0019833201076835,0.00531005859375,0.2180513959647979,13.8s,16.15%,-2.24%,29,5
3F+vix_mom_lag+vix_mom+theta+vega+rho,31.339126586914062,0.0002407590697169,0.0155164129139738,0.0080834589898586,-0.0004104021645616,0.004913330078125,0.2434121291824608,13.7s,18.87%,3.24%,15,5
3F+vix_mom_lag+gamma+theta+vega+rho,36.42363739013672,0.0002798202122652,0.0167278274819296,0.0088850781321525,0.0006491533713415,0.0054931640625,0.1206620840562733,13.7s,5.70%,-16.22%,100,5
3F+vix_mom+gamma+theta+vega+rho,32.934791564941406,0.0002530175739424,0.0159065261431418,0.0084117678925395,0.0003329670871607,0.0051711350679397,0.2048896526572877,13.7s,14.74%,9.58%,37,5
3F+vix_lag+vix_mom_lag+vix_mom+gamma+theta+vega,33.86184310913086,0.0002601395359007,0.0161288417408307,0.0091913389042019,0.0017935462528839,0.0061912387609481,0.1825088134207123,13.5s,12.34%,-2.81%,57,6
3F+vix_lag+vix_mom_lag+vix_mom+gamma+theta+rho,32.91641616821289,0.0002528764071677,0.0159020881385986,0.0088524501770734,-0.0008847158169373,0.0057597644627094,0.2053332707092363,13.4s,14.78%,2.79%,35,6
3F+vix_lag+vix_mom_lag+vix_mom+gamma+vega+rho,34.857276916503906,0.0002677868363691,0.016364193728051,0.0095983911305665,-0.0012712897732853,0.0065079070627689,0.1584770924736886,13.7s,9.76%,-5.90%,77,6
3F+vix_lag+vix_mom_lag+vix_mom+theta+vega+rho,33.82157897949219,0.0002598302115688,0.0161192497210272,0.0091188084334135,0.001729397685267,0.006103515625,0.1834808683383616,13.6s,12.44%,2.97%,56,6
3F+vix_lag+vix_mom_lag+gamma+theta+vega+rho,35.83572769165039,0.0002753036667356,0.0165922773221665,0.0093905413523316,-0.0008944337605498,0.006103515625,0.1348553751735977,13.7s,7.23%,-5.96%,92,6
3F+vix_lag+vix_mom+gamma+theta+vega+rho,34.81739807128906,0.0002674804719384,0.0163548302326403,0.0092851743102073,-0.0018596351146697,0.0061573646962642,0.1594398458710459,13.4s,9.86%,2.84%,76,6
3F+vix_mom_lag+vix_mom+gamma+theta+vega+rho,35.15408706665039,0.0002700670446396,0.01643371670194,0.0092207333073019,-0.0010828924132511,0.0060190260410308,0.1513115143611789,13.8s,8.99%,-0.97%,80,6
3F+vix_lag+vix_mom_lag+vix_mom+gamma+theta+vega+rho,29.88002586364746,0.0002295497039491,0.0151508977935008,0.0081526609137654,0.0002272441779496,0.0051626563072204,0.278637677235404,13.5s,22.64%,15.00%,7,7
Total,,,,,,,,1738.3s,,,,
