Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic,Gain_Incremental,rank,added_features
3F+vix_mom+theta+vega+rho,42.10724258422851,0.0001716876010039,0.0131029615356212,0.0068272994831204,-0.001991996075958,0.0043059661984443,0.3956140221196128,12.9s,35.13%,16.80%,16,4
3F+gamma+theta+vega+rho,45.261287689208984,0.0001845478693164,0.0135848396868149,0.0069907018914818,0.0001487830595578,0.0043172687292099,0.3503424603155047,12.8s,30.27%,-7.49%,39,4
3F+vix_lag+vix_mom_lag+vix_mom+gamma+theta,34.010379791259766,0.0001386735430113,0.0117759731237547,0.0061501390300691,0.0011795547325164,0.0037876963615417,0.511832279040684,12.9s,47.61%,24.86%,1,5
3F+vix_lag+vix_mom_lag+vix_mom+gamma+vega,39.16062545776367,0.0001596730972162,0.0126361820664399,0.0067008943296968,0.0002337497571716,0.0042186975479125,0.4379082680526056,13.0s,39.67%,-15.14%,7,5
3F+vix_lag+vix_mom_lag+vix_mom+gamma+rho,39.01095199584961,0.0001590628203129,0.0126120109543616,0.0068711251951754,-0.0003825464227702,0.0044260919094085,0.4400566049203244,12.8s,39.90%,0.38%,6,5
3F+vix_lag+vix_mom_lag+vix_mom+theta+vega,41.11566162109375,0.0001676445398507,0.0129477619630089,0.0065063633956015,-0.0005576699622906,0.0038172751665115,0.4098466717369081,12.8s,36.66%,-5.40%,15,5
3F+vix_lag+vix_mom_lag+vix_mom+theta+rho,44.35984420776367,0.0001808723337251,0.013448878530389,0.0071890829131007,0.0003818968252744,0.0045760869979858,0.3632813222926909,13.0s,31.66%,-7.89%,25,5
3F+vix_lag+vix_mom_lag+vix_mom+vega+rho,44.7730712890625,0.0001825572212149,0.0135113737723041,0.0072185466997325,0.0002801459340844,0.0045952796936035,0.3573500706055763,12.9s,31.03%,-0.93%,33,5
3F+vix_lag+vix_mom_lag+gamma+theta+vega,40.11944961547851,0.0001635825961365,0.0127899412092701,0.0068169706501066,0.0006335780490189,0.0042090713977813,0.4241457929863119,13.2s,38.20%,10.39%,9,5
3F+vix_lag+vix_mom_lag+gamma+theta+rho,40.28125,0.0001642423192187,0.0128157059586576,0.00698969559744,-0.0007933935266919,0.0044688582420349,0.421823392429571,12.9s,37.95%,-0.40%,11,5
3F+vix_lag+vix_mom_lag+gamma+vega+rho,45.03310775756836,0.0001836174910096,0.0135505531624962,0.0072826212272048,0.0007774155819788,0.0046088099479675,0.3536176391838773,13.0s,30.63%,-11.80%,36,5
3F+vix_lag+vix_mom_lag+theta+vega+rho,49.2278938293457,0.0002007212649256,0.0141676132402628,0.0078138606622815,-0.0018820756813511,0.0051614195108413,0.2934078100334931,13.2s,24.16%,-9.31%,69,5
3F+vix_lag+vix_mom+gamma+theta+vega,40.83766555786133,0.0001665110418049,0.0129039157547196,0.0068291625939309,-0.000969712040387,0.0042728036642074,0.4138368860613806,12.8s,37.09%,17.04%,12,5
3F+vix_lag+vix_mom+gamma+theta+rho,40.22682571411133,0.0001640204102428,0.0128070453361755,0.0068103889934718,-0.0004786060308106,0.0042647719383239,0.4226045709924149,13.0s,38.03%,1.50%,10,5
3F+vix_lag+vix_mom+gamma+vega+rho,43.1914176940918,0.0001761082044977,0.0132705766452605,0.0071298126131296,0.0006625037640333,0.0046056360006332,0.3800523231397388,13.3s,33.46%,-7.37%,19,5
3F+vix_lag+vix_mom+theta+vega+rho,48.982643127441406,0.0001997212824506,0.0141322780347217,0.007430394180119,0.0004961806698702,0.0047933310270309,0.2969280140696463,12.9s,24.54%,-13.41%,66,5
3F+vix_lag+gamma+theta+vega+rho,48.64816665649414,0.0001983574918207,0.0140839444695274,0.007966368459165,2.1157182345632464e-05,0.005323052406311,0.3017289194855511,12.8s,25.06%,0.68%,61,5
3F+vix_mom_lag+vix_mom+gamma+theta+vega,40.9825325012207,0.000167101720663,0.0129267830748051,0.0065999734215438,-0.0011881564278155,0.003971979022026,0.4117575395202325,13.1s,36.87%,15.76%,14,5
3F+vix_mom_lag+vix_mom+gamma+theta+rho,43.37141418457031,0.0001768421201792,0.0132981998849199,0.0073394747450947,-0.0022295035887509,0.0048160851001739,0.3774687449181232,13.1s,33.19%,-5.83%,21,5
3F+vix_mom_lag+vix_mom+gamma+vega+rho,44.58684921264648,0.0001817979213987,0.0134832459518742,0.0070595340803265,-0.0002773381711449,0.0044392496347427,0.3600230077263691,12.7s,31.31%,-2.80%,31,5
3F+vix_mom_lag+vix_mom+theta+vega+rho,46.530723571777344,0.0001897238530173,0.0137740282059163,0.0071168248541653,-0.0001129557422245,0.0044552087783813,0.3321216222801522,12.9s,28.32%,-4.36%,48,5
3F+vix_mom_lag+gamma+theta+vega+rho,49.977691650390625,0.0002037784821935,0.0142751000764827,0.0080531192943453,-0.0010138361249119,0.0052999556064605,0.2826455928596106,13.0s,23.01%,-7.41%,75,5
